218692022;Hora;Local;Navio;Carga;Evento;Viagem;DUV
12/07/2022;19:00/01:00;AL 4/3;SAKURA BELLE;GRAN.LIQUIDO NAO ESPECIF;ATRACACAO;2735/2022;281422022
12/07/2022;19:00/01:00;TIPLAN;SIFNOS;ACUCAR;ATRACACAO;2738/2022;281522022
12/07/2022;19:00/01:00;AL 4/3;SOUTHERN QUOKKA;ACIDO FOSFORICO;ATRACACAO;2759/2022;282692022
12/07/2022;19:00/01:00;16/17;STAR CORAL;ACUCAR A GRANEL;ATRACACAO;2601/2022;271112022
12/07/2022;19:00/01:00;16/17/19;STAR NIKE;ACUCAR A GRANEL;ATRACACAO;2770/2022;281802022
12/07/2022;19:00/01:00;35  1/32;TOKI ARROW;GRAN.SOLIDO NAO ESPECIF;ATRACACAO;2746/2022;281032022
12/07/2022;19:00/01:00;35  1/32;TORRENT;FERTILIZANTES;ATRACACAO;2743/2022;272982022
12/07/2022;19:00/01:00;SAB 1;TS 3;CARGA GERAL;ATRACACAO;2302/2022;240462022
12/07/2022;19:00/01:00;16/17/19;TYCOON;ACUCAR A GRANEL;REATRACACAO;2405/2022;246882022
12/07/2022;19:00/01:00;35  1/32;VITA KOUAN;FERTILIZANTES;ATRACACAO;2805/2022;283142022
12/07/2022;19:00/01:00;SAB 1;VOLZEE;CARGA GERAL;REATRACACAO;2170/2022;227702022
12/07/2022;19:00/01:00;39;WORLD PROSPER;MILHO A GRANEL;ATRACACAO;2545/2022;259742022
12/07/2022;19:00/01:00;35 /35 2;XINHUI EXPRESS;PAPEL E CELULOSE;MUDANCA;2344/2022;244462022
13/07/2022;01:00/07:00;TEG;ALPHA LOYALTY;MILHO A GRANEL;ATRACACAO;2772/2022;279262022
13/07/2022;01:00/07:00;38;AROUZU;SOJA A GRANEL;ATRACACAO;2620/2022;273162022
13/07/2022;01:00/07:00;37 1/2;ECO;SOJA A GRANEL;ATRACACAO;2648/2022;272752022
13/07/2022;01:00/07:00;AL 3;HAFNIA AXINITE;PRODUTOS QUIMICOS;ATRACACAO;2795/2022;272632022
13/07/2022;01:00/07:00;37 1/2;JAG ARNAV;PELLETS A GRANEL;ATRACACAO;2564/2022;266662022
13/07/2022;01:00/07:00;BARRA/37 1/2;LIA M;PELLETS A GRANEL;REATRACACAO;2598/2022;270252022
13/07/2022;01:00/07:00;BTP;MAERSK LABREA;CONTEINERES CHEIOS;ATRACACAO;2706/2022;252082022
13/07/2022;01:00/07:00;AL 2/3;MARLIN AZURITE;OLEO DIESEL;ATRACACAO;2761/2022;271802022
13/07/2022;01:00/07:00;EMBRAP;MERCOSUL SANTOS;CONTEINERES CHEIOS;ATRACACAO;2514/2022;237302022
13/07/2022;01:00/07:00;37 1/2;NORD DRACO;PELLETS A GRANEL;ATRACACAO;2635/2022;268742022
13/07/2022;01:00/07:00;TEG;SAKIZAYA HERO;MILHO A GRANEL;ATRACACAO;2762/2022;283862022
13/07/2022;01:00/07:00;37 1/2;SEA KSANTI;PELLETS A GRANEL;ATRACACAO;2623/2022;265642022
13/07/2022;01:00/07:00;TEV/TECON;SHANGHAI HIGHWAY;VEICULO;ATRACACAO;2797/2022;286792022
13/07/2022;01:00/07:00;38;THUNDER ISLAND;MILHO A GRANEL;ATRACACAO;2822/2022;286622022
13/07/2022;01:00/07:00;37 1/2;TRANSCENDEN WISDOM;PELLETS A GRANEL;ATRACACAO;2647/2022;276452022
13/07/2022;07:00/13:00;AL 1/2;AMAZON VICTORY;OLEO COMBUSTIVEL;ATRACACAO;2827/2022;291412022
13/07/2022;07:00/13:00;16/19;ARGYROULA GS;ACUCAR A GRANEL;ATRACACAO;2839/2022;293562022
13/07/2022;07:00/13:00;SAB 4/VALONGO/CORTE;ATLANTIC;CARGA GERAL;ATRACACAO;2834/2022;291122022
13/07/2022;07:00/13:00;AL 1/2;ENDLESS SUMMER;GASOLINA COMUM;ATRACACAO;2878/2022;296722022
13/07/2022;07:00/13:00;TMG;FEDERAL OAK;FERTILIZANTES;ATRACACAO;2359/2022;238642022
13/07/2022;07:00/13:00;TIPLAN;IVESTOS I;GRAN.SOLIDO NAO ESPECIF;ATRACACAO;2424/2022;242252022
13/07/2022;07:00/13:00;TECON/EMBRAP;LOG-IN PANTANAL;CONTEINERES CHEIOS;ATRACACAO;2315/2022;240062022
13/07/2022;07:00/13:00;BTP;MONTE PASCOAL;CONTEINERES CHEIOS;ATRACACAO;2708/2022;252652022
13/07/2022;07:00/13:00;TERMAG;PEACE PEARL;FERTILIZANTES;ATRACACAO;2565/2022;248952022
13/07/2022;07:00/13:00;AL 1/2;ROMOE MAERSK;OLEO DIESEL;ATRACACAO;2784/2022;287082022
13/07/2022;07:00/13:00;AL 1/2;ROMULO ALMEIDA;GASOLINA COMUM;ATRACACAO;2826/2022;291132022
13/07/2022;07:00/13:00;AGEO;RUBY - T;GRAN.LIQUIDO NAO ESPECIF;ATRACACAO;2754/2022;282092022
13/07/2022;07:00/13:00;AGEO;STANLEY PARK;GRAN.LIQUIDO NAO ESPECIF;ATRACACAO;2758/2022;283852022
13/07/2022;07:00/13:00;16/19;TAXIDIARA;MILHO A GRANEL;ATRACACAO;2439/2022;256462022
13/07/2022;07:00/13:00;32/ECOPORT;TOMINI SHAMAL;OUTROS;MUDANCA;2843/2022;290372022
13/07/2022;07:00/13:00;16/17/19;WADI ALKARM;MILHO A GRANEL;ATRACACAO;2629/2022;274722022
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
