Classe;Navio;Bandeira;Nav;Cheg/Arrival;Carimbo;Agência;Operaç;Mercadoria;DUV;Prioridade;Terminal;Com/Len;Cal/Draft;Peso;Viagem
GRANEIS SOLIDOS - EXPORTACAO;APOLLON;LIBERIANA;Long;17/7/22 18:00;;AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.;EMB;ACUCAR A GRANEL;302572022;B;20/21;225;13;28555;2924-6
GRANEIS SOLIDOS - EXPORTACAO;MEDI SERAPO;LIBERIANA;Long;18/7/22 5:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;ACUCAR A GRANEL;289452022;B;16/17-19;228;9;83000;2824-1
GRANEIS SOLIDOS - EXPORTACAO;DARYA PREETI;ILHAS MARSHALL;Long;20/7/22 7:00;;WILLIAMS SERVICOS MARITIMOS LTDA.;EMB;ACUCAR A GRANEL;302102022;B;20/21;229;11;72621;2918-6
GRANEIS SOLIDOS - EXPORTACAO;YANGZE 7;LIBERIANA;Long;23/7/22 8:00;;ALPHAMAR AGÊNCIA MARÍTIMA LTDA.;EMB;ACUCAR A GRANEL;299502022;B;CUTRALE;200;13.3;60163;2897-9
ROLL-IN-ROLL-OFF;SHANGHAI HIGHWAY;PANAMENHA;Long;10/7/22 8:00;2694-8;UNIMAR AGENCIAMENTOS MARITIMOS LTDA;EMB;VEICULO;286792022;B;TEVI;180;9.4;3254;2797-4
ROLL-IN-ROLL-OFF;GRANDE ANGOLA;ITALIANA;Long;12/7/22 0:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;VEICULOS/VRS/CCS.RO-RO;251272022;B;CAIS SABOO;211;7;100;2752--
ROLL-IN-ROLL-OFF;MARVELOUS ACE;JAPONESA;Long;17/7/22 5:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;VEICULOS/VRS/CCS.RO-RO;275662022;B;TEVI;200;7;100;2631-9
ROLL-IN-ROLL-OFF;OPAL LEADER;BAHAMENSE;Long;18/7/22 1:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;VEICULOS/VRS/CCS.RO-RO;236292022;B;TEVI;176;9;2500;2909-7
ROLL-IN-ROLL-OFF;GRAND DUKE;PANAMENHA;Long;19/7/22 1:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;VEICULOS/VRS/CCS.RO-RO;291752022;B;TEVI;200;9;100;2907-4
ROLL-IN-ROLL-OFF;BRILLIANT ACE;PANAMENHA;Long;20/7/22 10:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;VEICULOS/VRS/CCS.RO-RO;280902022;B;TEVI;200;9;100;2727-6
ROLL-IN-ROLL-OFF;FLORIDA HIGHWAY;PANAMENHA;Long;21/7/22 22:00;;UNIMAR AGENCIAMENTOS MARITIMOS LTDA;EMB;VEICULO;293022022;B;TEVI;200;10;2421;2842-0
ROLL-IN-ROLL-OFF;GLOVIS SKY;ILHAS MARSHALL;Long;25/7/22 0:00;;GLS BRASIL SERVICOS MARITIMOS;EMB;VEICULOS/VRS/CCS.RO-RO;276362022;B;TEVI;230;9.1;5000;2879--
ROLL-IN-ROLL-OFF;OPAL LEADER;BAHAMENSE;Long;31/7/22 1:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;VEICULOS/VRS/CCS.RO-RO;253792022;B;TEVI;176;9;100;2926-9
LASH;C TEMPORAL;BRASILEIRA;Long;12/7/22 0:00;;UNIMAR AGENCIAMENTOS MARITIMOS LTDA;EMB;CARGA GERAL;241002022;B;CODESP-RUA;17;1.8;1;2314-3
LASH;M AVEIRO;BRASILEIRA;Long;12/7/22 0:00;;UNIMAR AGENCIAMENTOS MARITIMOS LTDA;EMB;CARGA GERAL;286192022;B;CODESP-RUA;31;3;1;2782-7
LASH;PARCEIRO DO MAR;BRASILEIRA;Cabo;12/7/22 0:00;;UNIMAR AGENCIAMENTOS MARITIMOS LTDA;EMB;CARGA GERAL;293432022;B;CODESP-RUA;22;1.7;1;2850-2
CABOTAGEM;ATLANTIC;HOLANDESA;Long;11/7/22 11:00;2711-1;OCEAN WORLD SHIPPING - AG MAR E OPER PORT. LTDA-EPP;EMB;CARGA GERAL;291122022;B;CODESP-TECONDI;105;6.1;1288;2834-7
CABOTAGEM;TUJU ARROW;BAHAMENSE;Long;22/7/22 13:00;;WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO;EMB;PAPEL E CELULOSE;280792022;B;EPORT 1/TECON 1;225;7;1006;2731-3
CONTEINERES;CMA CGM FORT ST GEORGES;BRASILEIRA;Long;4/7/22 5:53;2592-5;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;269332022;B;TECON;197;9;3600;2616-0
CONTEINERES;CHIPOL GUANGAN;LIBERIANA;Long;8/7/22 14:40;2670--;COSCO BRASIL S/A;EMB;CONTEINERES CHEIOS;279962022;B;TECONDI;166;7.5;2700;2741-9
CONTEINERES;AGIOS DIMITRIOS;LIBERIANA;Long;12/7/22 0:00;;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.;EMB;CONTEINERES CHEIOS;201832022;B;B.T.P. 1;299;9.5;1800;1897-5
CONTEINERES;CAP SAN MALEAS;PANAMENHA;Long;12/7/22 0:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;279472022;B;B.T.P. 1;333;9;1800;2685-1
CONTEINERES;CMA CGM RIO GRANDE;MALTESA;Long;12/7/22 0:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;224382022;B;B.T.P. 1;300;9;1800;2791-6
CONTEINERES;COSCO SHIPPING GLORY;HONG KONG;Long;12/7/22 0:00;;COSCO BRASIL S/A;EMB;CONTEINERES VAZIOS;200352022;B;TECON;202;11;280;1889-2
CONTEINERES;COSCO SHIPPING HARMONY;HONG KONG;Long;12/7/22 0:00;;COSCO BRASIL S/A;EMB;CONTEINERES VAZIOS;276002022;B;TECON;202;13.3;333;2643-7
CONTEINERES;COSCO SHIPPING RHINE;HONG KONG;Long;12/7/22 0:00;;COSCO BRASIL S/A;EMB;CONTEINERES CHEIOS;280382022;B;EPORT 1/TECON 1;300;12.6;8100;2719-3
CONTEINERES;COSCO SHIPPING XING WANG;CHINESA;Long;12/7/22 0:00;;ZIM DO BRASIL LTDA.;DESC;CONTEINERES CHEIOS;67322022;B;TECON;202;11;3888;0609-6
CONTEINERES;DUBLIN EXPRESS;BERMUDAS;Long;12/7/22 0:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;CONTEINERES CHEIOS;276862022;B;TECON;281;10;16956;2646-6
CONTEINERES;EXPRESS FRANCE;MALTESA;Long;12/7/22 0:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;219292022;B;EPORT 1/TECON 1;223;9;1800;2099-5
CONTEINERES;EXPRESS FRANCE;MALTESA;Long;12/7/22 0:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;219332022;B;EPORT 1/TECON 1;223;9;1800;2580-5
CONTEINERES;GREAT ZHOU;PANAMENHA;Long;12/7/22 0:00;;COSCO BRASIL S/A;EMB;CONTEINERES CHEIOS;276352022;B;TECON;200;7;3600;2634-8
CONTEINERES;GSL MELINA;LIBERIANA;Long;12/7/22 0:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;251892022;B;TECON;228;9;1800;2423-7
CONTEINERES;GSL MELINA;LIBERIANA;Long;12/7/22 0:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;251902022;B;TECON;228;9;1800;2493-5
CONTEINERES;GSL MELINA;LIBERIANA;Long;12/7/22 0:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;251932022;B;TECON;228;9;1800;2798--
CONTEINERES;HUNGARY;MALTESA;Long;12/7/22 0:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;CONTEINERES CHEIOS;249302022;B;B.T.P. 1;300;7;17370;2393--
CONTEINERES;HYUNDAI SHANGHAI;CIPRIOTA;Long;12/7/22 0:00;;UNIMAR AGENCIAMENTOS MARITIMOS LTDA;EMB;CONTEINERES CHEIOS;282992022;B;EPORT 1/TECON 1;304;12.5;14400;2780-4
CONTEINERES;KURE;LIBERIANA;Long;12/7/22 0:00;;COSCO BRASIL S/A;EMB;CONTEINERES CHEIOS;288782022;B;TECON;318;12.6;8100;2799-7
CONTEINERES;MONTE PASCOAL;SINGAPURENSE;Long;12/7/22 0:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;252652022;B;B.T.P. / TECON;272;9;1800;2708-1
CONTEINERES;MONTE SARMIENTO;BRASILEIRA;Cabo;12/7/22 0:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;215582022;B;TECON;272;9;1800;2657-8
CONTEINERES;MSC AQUARIUS;CIPRIOTA;Long;12/7/22 0:00;;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.;EMB;CONTEINERES CHEIOS;285832022;B;EPORT 1/TECON 1;284;8.2;12132;2778-0
CONTEINERES;MSC BARCELONA;LIBERIANA;Long;12/7/22 0:00;;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.;EMB;CONTEINERES CHEIOS;256132022;B;B.T.P. 2;270;12.3;12132;2434-9
CONTEINERES;MSC BOSPHORUS;CIPRIOTA;Long;12/7/22 0:00;;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.;EMB;CONTEINERES CHEIOS;44402022;B;B.T.P. 1;230;10.4;1800;0402-2
CONTEINERES;MSC DARDANELLES;CIPRIOTA;Long;12/7/22 0:00;;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.;EMB;CONTEINERES CHEIOS;285842022;B;B.T.P. 1;300;13.1;15588;2790-0
CONTEINERES;MSC GISELLE;PORTUGUESA;Long;12/7/22 0:00;;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.;EMB;CONTEINERES CHEIOS;285862022;B;B.T.P. 1;300;14.1;18000;2786-2
CONTEINERES;MSC TAVVISHI;LIBERIANA;Long;12/7/22 0:00;;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.;EMB;CONTEINERES CHEIOS;256122022;B;B.T.P 3;278;11.5;15588;2432-6
CONTEINERES;TUCAPEL;LIBERIANA;Long;12/7/22 0:00;;ROCHAMAR AGENCIA MARITIMA SA;EMB;CONTEINERES CHEIOS;112642022;B;EPORT 1/TECON 1;300;12;1620;1056--
CONTEINERES;ZHONG YUAN HAI YUN JIN QU;CHINESA;Long;12/7/22 0:00;;COSCO BRASIL S/A;EMB;CONTEINERES CHEIOS;86872022;B;TECON;202;11;1620;0821-5
CONTEINERES;CONTSHIP KEY;LIBERIANA;Long;12/7/22 10:00;;ZIM DO BRASIL LTDA.;EMB;CONTEINERES CHEIOS;276742022;B;B.T.P. 1;148;7.4;3600;2664-4
CONTEINERES;UASC ZAMZAM;DINAMARQUESA;Long;12/7/22 10:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;CONTEINERES CHEIOS;269302022;B;B.T.P. 1;300;10;1080;2585-7
CONTEINERES;MSC CHANNE;PORTUGUESA;Long;12/7/22 17:00;2721-9;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.;EMB;CONTEINERES CHEIOS;268222022;B;B.T.P. 1;300;14.3;25938;2561--
CONTEINERES;MSC AJACCIO;MALTESA;Long;12/7/22 19:00;;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.;EMB;CONTEINERES CHEIOS;285782022;B;B.T.P. 1;300;10;1800;2768-4
CONTEINERES;MERCOSUL SANTOS;BRASILEIRA;Cabo;13/7/22 0:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;237302022;B;EPORT 1/TECON 1;211;9;1800;2514-2
CONTEINERES;XIN CHI WAN;CHINESA;Long;13/7/22 5:00;;COSCO BRASIL S/A;EMB;CONTEINERES CHEIOS;297822022;B;TECON;280;12.5;16200;2880-9
CONTEINERES;COSCO SHIPPING PENG CHENG;CHINESA;Long;13/7/22 9:00;;ZIM DO BRASIL LTDA.;DESC;CONTEINERES CHEIOS;276672022;B;TECON;202;8;2106;2644-3
CONTEINERES;SUAPE EXPRESS;LIBERIANA;Long;13/7/22 11:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;CONTEINERES CHEIOS;280582022;B;EPORT 1/TECON 1;293;7;1620;2718-7
CONTEINERES;LOG-IN PANTANAL;BRASILEIRA;Cabo;13/7/22 12:00;;AGÊNCIA MARÍTIMA ORION;EMB;CONTEINERES CHEIOS;240062022;B;EPORT 1/TECON 1;183;9;3600;2315-0
CONTEINERES;FERNÃO DE MAGALHÃES;BRASILEIRA;Cabo;13/7/22 22:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;267352022;B;TECON;228;9;1800;2656-1
CONTEINERES;MSC ATHENS;MALTESA;Long;14/7/22 2:00;;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.;EMB;CONTEINERES CHEIOS;288462022;B;B.T.P. 1;300;13.2;18000;2793-9
CONTEINERES;MSC CATERINA;PORTUGUESA;Long;14/7/22 2:00;;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.;EMB;CONTEINERES CHEIOS;285802022;B;B.T.P. 1;300;9.6;1800;2767-8
CONTEINERES;CAP SAN LORENZO;DINAMARQUESA;Long;14/7/22 3:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;251802022;B;TECON;333;9;1800;2693-4
CONTEINERES;MONTE PASCOAL;SINGAPURENSE;Long;14/7/22 5:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;252692022;B;B.T.P. 1;272;9;1800;2700--
CONTEINERES;HARIS;MALTESA;Long;14/7/22 9:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;253072022;B;EPORT 1/TECON 1;185;9;1800;2715-8
CONTEINERES;MAERSK BERMUDA;SINGAPURENSE;Long;15/7/22 8:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;251992022;B;TECON;195;8.5;1800;2691-1
CONTEINERES;MH HAMBURG;ILHAS MARSHALL;Long;15/7/22 12:00;;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.;EMB;CONTEINERES CHEIOS;285812022;B;B.T.P. 1;293;10.1;1800;2789-1
CONTEINERES;MAERSK LABREA;HONG KONG;Long;16/7/22 8:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;252082022;B;B.T.P. 1;300;9;1800;2706-9
CONTEINERES;MSC SARA ELENA;PORTUGUESA;Long;16/7/22 23:00;;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.;EMB;CONTEINERES CHEIOS;285822022;B;B.T.P. 1;300;13.8;27000;2787-9
CONTEINERES;MONTE ALEGRE;SINGAPURENSE;Long;17/7/22 2:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;252472022;B;TECON;272;9;1800;2688--
CONTEINERES;HELLA;PORTUGUESA;Long;17/7/22 5:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;CONTEINERES CHEIOS;289852022;B;EPORT 1/TECON 1;275;7;18666;2806-3
CONTEINERES;MSC BARBARA;PANAMENHA;Long;17/7/22 9:00;;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.;EMB;CONTEINERES CHEIOS;285852022;B;B.T.P. 1;304;13.5;12600;2788-5
CONTEINERES;NORTHERN DELEGATION;ANTIGUANA;Long;17/7/22 10:00;;COSCO BRASIL S/A;EMB;CONTEINERES CHEIOS;286522022;B;EPORT 1/TECON 1;231;10;2700;2807-0
CONTEINERES;MSC BRIANNA;PANAMENHA;Long;18/7/22 1:00;;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.;EMB;CONTEINERES CHEIOS;288482022;B;B.T.P. 1;294;12;12600;2794-5
CONTEINERES;CMA CGM FORT ST GEORGES;BRASILEIRA;Long;18/7/22 8:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;269372022;B;TECON;197;9;3600;2619-9
CONTEINERES;MAERSK LOTA;SINGAPURENSE;Long;18/7/22 8:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;252302022;B;B.T.P. 1;300;9;1800;2707-5
CONTEINERES;MARIANETTA;LIBERIANA;Long;18/7/22 10:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;CONTEINERES CHEIOS;281092022;B;TECON;286;10;12834;2728-2
CONTEINERES;LOG-IN ENDURANCE;BRASILEIRA;Long;18/7/22 12:00;;AGÊNCIA MARÍTIMA ORION;EMB;CONTEINERES CHEIOS;240092022;B;EPORT 1/TECON 1;213;9;3150;2307-7
CONTEINERES;SEASPAN OSPREY;HONG KONG;Long;19/7/22 3:00;;OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;257902022;B;B.T.P. 1;330;11.2;1530;2458-5
CONTEINERES;LOG-IN JACARANDA;BRASILEIRA;Long;19/7/22 5:00;;AGÊNCIA MARÍTIMA ORION;EMB;CONTEINERES CHEIOS;240112022;B;EPORT 1/TECON 1;218;9;3150;2304-8
CONTEINERES;LOG-IN DISCOVERY;LIBERIANA;Long;19/7/22 9:00;;AGÊNCIA MARÍTIMA ORION;EMB;CONTEINERES CHEIOS;296372022;B;EPORT 1/TECON 1;209;7;3150;2873-2
CONTEINERES;MERCOSUL SUAPE;BRASILEIRA;Cabo;19/7/22 18:30;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;269452022;B;EPORT 1/TECON 1;211;9;1800;2776-7
CONTEINERES;LOG-IN DISCOVERY;LIBERIANA;Long;19/7/22 21:00;;OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;259102022;B;B.T.P. 1;209;9;1530;2511-3
CONTEINERES;HYUNDAI GRACE;ILHAS MARSHALL;Long;19/7/22 22:00;;UNIMAR AGENCIAMENTOS MARITIMOS LTDA;EMB;CONTEINERES CHEIOS;291672022;B;EPORT 1/TECON 1;294;11.5;5400;2852-5
CONTEINERES;MONTE OLIVIA;SINGAPURENSE;Long;20/7/22 8:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;252612022;B;TECON;272;9;1800;2674-0
CONTEINERES;LOG-IN PANTANAL;BRASILEIRA;Cabo;20/7/22 12:00;;AGÊNCIA MARÍTIMA ORION;EMB;CONTEINERES CHEIOS;240142022;B;EPORT 1/TECON 1;183;9;3600;2319-5
CONTEINERES;CAP SAN ARTEMISSIO;PANAMENHA;Long;21/7/22 3:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;251792022;B;TECON;333;9;1800;2684-5
CONTEINERES;AMERICO VESPUCIO;BRASILEIRA;Cabo;21/7/22 4:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;267752022;B;TECON;228;9;1800;2660-9
CONTEINERES;MONTE SARMIENTO;BRASILEIRA;Cabo;21/7/22 4:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;267462022;B;TECON;272;9;1800;2659--
CONTEINERES;TENO;LIBERIANA;Long;21/7/22 5:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;CONTEINERES CHEIOS;289842022;B;B.T.P. 1;300;7;108;2814-6
CONTEINERES;SAN CLEMENTE;SINGAPURENSE;Long;21/7/22 8:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;252962022;B;B.T.P. 1;300;9;1800;2702-3
CONTEINERES;CMA CGM ARISTOTE;BRASILEIRA;Cabo;21/7/22 9:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONSUMO DE BORDO;293972022;B;EPORT 1/TECON 1;170;9;300;2902-2
CONTEINERES;POLONIA;LIBERIANA;Long;21/7/22 10:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;CONTEINERES CHEIOS;289382022;B;TECON;221;7;4536;2810--
CONTEINERES;MAERSK LAVRAS;HONG KONG;Long;21/7/22 17:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;252092022;B;TECON;300;9;1800;2690-5
CONTEINERES;CAP SAN RAPHAEL;DINAMARQUESA;Long;22/7/22 2:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;251882022;B;TECON;333;9;1800;2676-2
CONTEINERES;NAVEGANTES EXPRESS;SINGAPURENSE;Long;22/7/22 5:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;CONTEINERES CHEIOS;289862022;B;B.T.P. 1;330;7;21852;2812-3
CONTEINERES;MONTE ACONCAGUA;SINGAPURENSE;Long;22/7/22 8:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;252412022;B;B.T.P. 1;272;9;1800;2704-6
CONTEINERES;BARTOLOMEU DIAS;BRASILEIRA;Cabo;23/7/22 2:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;273672022;B;B.T.P. / TECON;255;9;3600;2658-4
CONTEINERES;ATACAMA;LIBERIANA;Long;23/7/22 8:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;251782022;B;B.T.P. 1;300;9;1800;2701-7
CONTEINERES;NYK DIANA;PANAMENHA;Long;23/7/22 12:00;;OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;251132022;B;EPORT 1/TECON 1;294;10;1530;2415-4
CONTEINERES;MSC BOSPHORUS;CIPRIOTA;Long;23/7/22 21:00;;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.;EMB;CONTEINERES CHEIOS;301122022;B;B.T.P. 1;230;10.7;1800;2893-3
CONTEINERES;MONTE CERVANTES;SINGAPURENSE;Long;24/7/22 2:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;252522022;B;TECON;272;9;1800;2689-7
CONTEINERES;MERCOSUL GUARANI;BRASILEIRA;Long;25/7/22 20:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;284322022;B;EPORT 1/TECON 1;207;9;1800;2779-6
CONTEINERES;LOG-IN JATOBÁ;BRASILEIRA;Long;26/7/22 5:00;;AGÊNCIA MARÍTIMA ORION;EMB;CONTEINERES CHEIOS;240192022;B;EPORT 1/TECON 1;218;9;6750;2305-4
CONTEINERES;PARANAGUA EXPRESS;SINGAPURENSE;Long;26/7/22 10:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;CONTEINERES CHEIOS;289412022;B;B.T.P. 1;330;10;360;2813-0
CONTEINERES;LOG-IN POLARIS;BRASILEIRA;Cabo;26/7/22 12:00;;AGÊNCIA MARÍTIMA ORION;EMB;CONTEINERES CHEIOS;240202022;B;EPORT 1/TECON 1;186;9;3150;2300-2
CONTEINERES;KOTA CANTIK;SINGAPURENSE;Long;26/7/22 22:00;;UNIMAR AGENCIAMENTOS MARITIMOS LTDA;EMB;CONTEINERES VAZIOS;293272022;B;TECON;301;12;300;2837-6
CONTEINERES;CONSTANTIA;LIBERIANA;Long;27/7/22 5:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;CONTEINERES CHEIOS;290542022;B;EPORT 1/TECON 1;260;7;1620;2845-9
CONTEINERES;SUAPE EXPRESS;LIBERIANA;Long;27/7/22 5:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;CONTEINERES CHEIOS;289832022;B;EPORT 1/TECON 1;293;7;18666;2808-6
CONTEINERES;MONTE ALEGRE;SINGAPURENSE;Long;27/7/22 8:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;252502022;B;TECON;272;9;1800;2673-3
CONTEINERES;AL SAFAT;LIBERIANA;Long;27/7/22 10:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;CONTEINERES CHEIOS;294462022;B;TECON;306;7;2106;2854-8
CONTEINERES;LOG-IN PANTANAL;BRASILEIRA;Cabo;27/7/22 12:00;;AGÊNCIA MARÍTIMA ORION;EMB;CONTEINERES CHEIOS;240232022;B;EPORT 1/TECON 1;183;9;3600;2318-9
CONTEINERES;MONTE ACONCAGUA;SINGAPURENSE;Long;27/7/22 19:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;252452022;B;B.T.P. 1;272;9;1800;2703-0
CONTEINERES;CAP SAN MARCO;DINAMARQUESA;Long;28/7/22 3:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;251822022;B;TECON;333;9;1800;2692-8
CONTEINERES;AMERICO VESPUCIO;BRASILEIRA;Cabo;28/7/22 4:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;274852022;B;TECON;228;9;1800;2681-6
CONTEINERES;FERNÃO DE MAGALHÃES;BRASILEIRA;Cabo;28/7/22 4:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;267432022;B;TECON;228;9;1800;2678-5
CONTEINERES;UASC ZAMZAM;DINAMARQUESA;Long;28/7/22 5:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;CONTEINERES CHEIOS;289872022;B;B.T.P. 1;300;7;17370;2831-8
CONTEINERES;CMA CGM PUERTO ANTIOQUIA;LIBERIANA;Long;28/7/22 9:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;253852022;B;EPORT 1/TECON 1;211;9;1800;2515-9
CONTEINERES;MAERSK LETICIA;HONG KONG;Long;28/7/22 17:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;252202022;B;TECON;300;9;1800;2694--
CONTEINERES;CAP SAN LORENZO;DINAMARQUESA;Long;29/7/22 2:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;278522022;B;TECON;333;9;1800;2675-6
CONTEINERES;MAERSK LIMA;HONG KONG;Long;30/7/22 8:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;252282022;B;B.T.P. 1;300;9;1800;2705-2
CONTEINERES;NYK DIANA;PANAMENHA;Long;30/7/22 19:00;;OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;258892022;B;EPORT 1/TECON 1;294;13.4;15300;2470-5
CONTEINERES;CMA CGM VERACRUZ;MALTESA;Long;31/7/22 20:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;253882022;B;EPORT 1/TECON 1;229;9;1800;2518-8
CONTEINERES;SEASPAN HARRIER;HONG KONG;Long;31/7/22 21:00;;OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;282102022;B;B.T.P. 1;330;11.5;1530;2748-3
CONTEINERES;TENO;LIBERIANA;Long;1/8/22 10:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;CONTEINERES CHEIOS;300172022;B;B.T.P. 1;300;7;26298;2891--
CONTEINERES;LOG-IN DISCOVERY;LIBERIANA;Long;1/8/22 12:00;;AGÊNCIA MARÍTIMA ORION;EMB;CONTEINERES CHEIOS;300562022;B;EPORT 1/TECON 1;209;9;3150;2908--
